Date,Cases,Deaths,Recovered
2022-11-30,44673863,530622,0
2022-12-01,44674138,530624,0
2022-12-02,44674390,530627,0
2022-12-03,44674616,530628,0
2022-12-04,44674842,530630,0
2022-12-05,44675006,530633,0
2022-12-06,44675172,530638,0
2022-12-07,44675413,530647,0
2022-12-08,44675662,530653,0
2022-12-09,44675872,530654,0
2022-12-10,44676045,530658,0
2022-12-11,44676045,530658,0
2022-12-12,44676318,530658,0
2022-12-13,44676470,530658,0
2022-12-14,44676670,530663,0
2022-12-15,44676832,530663,0
2022-12-16,44676999,530667,0
2022-12-17,44677175,530672,0
2022-12-18,44677310,530674,0
2022-12-19,44677422,530677,0
2022-12-20,44677554,530680,0
2022-12-21,44677739,530681,0
2022-12-22,44677902,530690,0
2022-12-23,44678103,530691,0
2022-12-24,44678330,530693,0
2022-12-25,44678517,530695,0
2022-12-26,44678683,530696,0
2022-12-27,44678871,530696,0
2022-12-28,44679139,530698,0
2022-12-29,44679382,530699,0
2022-12-30,44679608,530702,0
2022-12-31,44679873,530705,0
2023-01-01,44680046,530707,0
2023-01-02,44680180,530707,0
2023-01-03,44680355,530707,0
2023-01-04,44680543,530710,0
2023-01-05,44680771,530714,0
2023-01-06,44680985,530718,0
2023-01-07,44681148,530720,0
2023-01-08,44681318,530721,0
2023-01-09,44681439,530722,0
2023-01-10,44681610,530722,0
2023-01-11,44681807,530723,0
2023-01-12,44681981,530725,0
2023-01-13,44682160,530726,0
2023-01-14,44682264,530726,0
2023-01-15,44682378,530726,0
2023-01-16,44682467,530726,0
2023-01-17,44682595,530728,0
2023-01-18,44682729,530728,0
2023-01-19,44682874,530728,0
2023-01-20,44683005,530730,0
2023-01-21,44683145,530733,0
2023-01-22,44683239,530735,0
2023-01-23,44683328,530737,0
2023-01-24,44683430,530737,0
2023-01-25,44683562,530738,0
2023-01-26,44683661,530739,0
2023-01-27,44683754,530739,0
2023-01-28,44683863,530740,0
2023-01-29,44683943,530740,0
2023-01-30,44684009,530740,0
2023-01-31,44684120,530740,0
2023-02-01,44684248,530741,0
2023-02-02,44684347,530741,0
2023-02-03,44684475,530745,0
2023-02-04,44684588,530745,0
2023-02-05,44684679,530745,0
2023-02-06,44684768,530745,0
2023-02-07,44684864,530746,0
2023-02-08,44684973,530748,0
2023-02-09,44685087,530750,0
2023-02-10,44683862,530750,0
2023-02-11,44685219,530750,0
2023-02-12,44685425,530753,0
2023-02-13,44685499,530753,0
2023-02-14,44685601,530756,0
2023-02-15,44685727,530757,0
2023-02-16,44685884,530757,0
2023-02-17,44686001,530757,0
2023-02-18,44686143,530760,0
2023-02-19,44686263,530761,0
2023-02-20,44686358,530761,0
2023-02-21,44686483,530762,0
2023-02-22,44686676,530763,0
2023-02-23,44686842,530764,0
2023-02-24,44687025,530764,0
2023-02-25,44687243,530769,0
2023-02-26,44687428,530770,0
2023-02-27,44687597,530771,0
2023-02-28,44687837,530772,0
2023-03-01,44688105,530772,0
2023-03-02,44688388,530772,0
2023-03-03,44688722,530775,0
2023-03-04,44689046,530775,0
2023-03-05,44689327,530775,0
2023-03-06,44689593,530775,0
2023-03-07,44689919,530775,0
2023-03-08,44690298,530776,0
2023-03-09,44690738,530779,0
